Chain,Tier,Location,ItemActual,ItemTo,ChainID,SubPaste,Amount,Verified,LocationIndex
Pistachio>Chewy Raw Gizzard>Cron Castle Gold Coin [Randis>Tashu],[Basic Item],Randis,Pistachio,Chewy Raw Gizzard,1,A,1100,V,32
Pistachio>Chewy Raw Gizzard>Cron Castle Gold Coin [Randis>Tashu],[Level 1],Tashu,Chewy Raw Gizzard,Cron Castle Gold Coin,1,A,,V,15
Pistachio>Chewy Raw Gizzard>Cron Castle Gold Coin [Randis>Tashu],[Level 2],Modric,Cron Castle Gold Coin,Lopters Fishnet,1,A,,V,45
Pistachio>Chewy Raw Gizzard>Cron Castle Gold Coin [Randis>Tashu],[Level 3],Lisz,Lopters Fishnet,Opulent Thread Spool,1,A,,V,28
Pistachio>Chewy Raw Gizzard>Cron Castle Gold Coin [Randis>Tashu],[Level 4],Rameda,Opulent Thread Spool,Elixir of Youth,1,A,,V,41
Pistachio>Chewy Raw Gizzard>Cron Castle Gold Coin [Randis>Tashu],[Level 5],Halmad,Elixir of Youth,Crow Coins,1,A,,V,59
Essence of Liquor>Ancient Urn Piece>Big Stone Slab [Duch>Tinberra],[Basic Item],Duch,Essence of Liquor,Ancient Urn Piece,1,B,1400,V,8
Essence of Liquor>Ancient Urn Piece>Big Stone Slab [Duch>Tinberra],[Level 1],Tinberra,Ancient Urn Piece,Big Stone Slab,1,B,,V,54
Essence of Liquor>Ancient Urn Piece>Big Stone Slab [Duch>Tinberra],[Level 2],Albresser,Big Stone Slab,Old Hourglass,1,B,,V,37
Essence of Liquor>Ancient Urn Piece>Big Stone Slab [Duch>Tinberra],[Level 3],Al-Naha,Old Hourglass,Old Chest with Gold Coins,1,B,,V,25
Essence of Liquor>Ancient Urn Piece>Big Stone Slab [Duch>Tinberra],[Level 4],Narvo,Old Chest with Gold Coins,Azure Quartz,1,B,,V,29
Essence of Liquor>Ancient Urn Piece>Big Stone Slab [Duch>Tinberra],[Level 5],Kashuma,Azure Quartz,Crow Coins,1,B,,V,60
Vinegar>Roa Flower Seed Pouch>Sea Survival Kit [Luivano>Racid],[Basic Item],Luivano,Vinegar,Roa Flower Seed Pouch,1,C,1400,V,10
Vinegar>Roa Flower Seed Pouch>Sea Survival Kit [Luivano>Racid],[Level 1],Racid,Roa Flower Seed Pouch,Sea Survival Kit,1,C,,V,24
Vinegar>Roa Flower Seed Pouch>Sea Survival Kit [Luivano>Racid],[Level 2],Dunde,Sea Survival Kit,Rare Herb Pile,1,C,,V,36
Vinegar>Roa Flower Seed Pouch>Sea Survival Kit [Luivano>Racid],[Level 3],Tigris,Rare Herb Pile,Boatman's Manual,1,C,,V,46
Vinegar>Roa Flower Seed Pouch>Sea Survival Kit [Luivano>Racid],[Level 4],Oben,Boatman's Manual,Luxury Patterned Fabric,1,C,,V,35
Vinegar>Roa Flower Seed Pouch>Sea Survival Kit [Luivano>Racid],[Level 5],Derko,Luxury Patterned Fabric,Crow Coins,1,C,,V,63
Rough Blue Crystal>Naval Ration>Conch Shell Ornament [Eveto>Boa],[Basic Item],Eveto,Rough Blue Crystal,Naval Ration,1,D,100,V,9
Rough Blue Crystal>Naval Ration>Conch Shell Ornament [Eveto>Boa],[Level 1],Boa,Naval Ration,Conch Shell Ornament,1,D,,V,62
Rough Blue Crystal>Naval Ration>Conch Shell Ornament [Eveto>Boa],[Level 2],Marlene,Conch Shell Ornament,Skull Decorated Teacup,1,D,,V,6
Rough Blue Crystal>Naval Ration>Conch Shell Ornament [Eveto>Boa],[Level 3],Rosevan,Skull Decorated Teacup,Seashell Deco,1,D,,V,58
Rough Blue Crystal>Naval Ration>Conch Shell Ornament [Eveto>Boa],[Level 4],Orffs,Seashell Deco,102 Year Old Golden Herb,1,D,,V,14
Rough Blue Crystal>Naval Ration>Conch Shell Ornament [Eveto>Boa],[Level 5],Hakoven,102 Year Old Golden Herb,Crow Coins,1,D,,V,50
Vinegar>Fertile Soil>Pirate Gold Coin [Staren>Esfah],[Basic Item],Staren,Vinegar,Fertile Soil,1,E,1400,V,31
Vinegar>Fertile Soil>Pirate Gold Coin [Staren>Esfah],[Level 1],Esfah,Fertile Soil,Pirate Gold Coin,1,E,,V,44
Vinegar>Fertile Soil>Pirate Gold Coin [Staren>Esfah],[Level 2],Arakil,Pirate Gold Coin,Scout Binoculars,1,E,,V,20
Vinegar>Fertile Soil>Pirate Gold Coin [Staren>Esfah],[Level 3],Orisha,Scout Binoculars,Solidified Lava,1,E,,V,61
Vinegar>Fertile Soil>Pirate Gold Coin [Staren>Esfah],[Level 4],Iliya,Solidified Lava,Golden Fish Scale,1,E,,V,4
Vinegar>Fertile Soil>Pirate Gold Coin [Staren>Esfah],[Level 5],Cargo,Golden Fish Scale,Crow Coins,1,E,,V,64
Vinegar>Giant Fish Bone>Supreme Oyster Box [Barater>Portanen],[Basic Item],Barater,Vinegar,Giant Fish Bone,1,F,1400,V,38
Vinegar>Giant Fish Bone>Supreme Oyster Box [Barater>Portanen],[Level 1],Portanen,Giant Fish Bone,Supreme Oyster Box,1,F,,V,56
Vinegar>Giant Fish Bone>Supreme Oyster Box [Barater>Portanen],[Level 2],Taramura,Supreme Oyster Box,Gooey Monster Blood,1,F,,V,22
Vinegar>Giant Fish Bone>Supreme Oyster Box [Barater>Portanen],[Level 3],Tulu,Gooey Monster Blood,Panacea,1,F,,V,13
Vinegar>Giant Fish Bone>Supreme Oyster Box [Barater>Portanen],[Level 4],Pujara,Panacea,Supreme Gold Candlestick,1,F,,V,27
Vinegar>Giant Fish Bone>Supreme Oyster Box [Barater>Portanen],[Level 5],Incomplete,Supreme Gold Candlestick,Crow Coins,1,F,,V,65
Vinegar>Raft Toy>Monster Tentacle [Baeza>Sokota],[Basic Item],Baeza,Vinegar,Raft Toy,1,G,1400,V,47
Vinegar>Raft Toy>Monster Tentacle [Baeza>Sokota],[Level 1],Sokota,Raft Toy,Monster Tentacle,1,G,,V,40
Vinegar>Raft Toy>Monster Tentacle [Baeza>Sokota],[Level 2],Kanvera,Monster Tentacle,Stalactite Fragment,1,G,,V,19
